,Character,Wins,Losses
0,Banjo & Kazooie,49053,45879
1,Bayonetta,38429,30050
2,Bowser,92933,93441
3,Bowser Jr.,30813,25993
4,Byleth,24547,32912
5,Captain Falcon,51089,60508
6,Chrom,25396,29409
7,Cloud,84550,90640
8,Corrin,15216,20763
9,Daisy,8208,8729
10,Dark Pit,16903,21600
11,Dark Samus,21304,17894
12,Diddy Kong,28355,27474
13,Donkey Kong,67843,61960
14,Dr. Mario,23583,21271
15,Duck Hunt,20057,17520
16,Falco,30092,39562
17,Fox,25678,32454
18,Ganondorf,43341,46136
19,Greninja,37614,39178
20,Hero,41960,42925
21,Ice Climbers,15873,14973
22,Ike,55930,48397
23,Incineroar,29330,29810
24,Inkling,75936,75452
25,Isabelle,24507,23228
26,Jigglypuff,42361,54570
27,Joker,76942,106509
28,Kazuya,1505,1994
29,Ken,34750,25782
30,King Dedede,60885,50484
31,King K. Rool,52851,55603
32,Kirby,30296,37428
33,Link,56357,59351
34,Little Mac,37587,39541
35,Lucario,14045,16614
36,Lucas,39938,43259
37,Lucina,44492,65526
38,Luigi,64326,52605
39,Mario,60331,67584
40,Marth,13115,19999
41,Mega Man,29639,25920
42,Meta Knight,13715,14035
43,Mewtwo,14735,19394
44,Mii Brawler,13850,16582
45,Mii Gunner,17842,15326
46,Mii Swordfighter,17668,16019
47,Min Min,39765,29106
48,Mr. Game & Watch,54001,52936
49,Ness,98830,93415
50,Olimar,11819,11348
51,Pac-Man,50496,42930
52,Palutena,97695,88055
53,Peach,22691,22170
54,Pichu,24673,25889
55,Pikachu,49203,55363
56,Piranha Plant,29711,32348
57,Pit,10785,12882
58,Pokemon Trainer,81189,84850
59,Pyra & Mythra,29213,34782
60,R.O.B.,90585,69659
61,Richter,26102,18860
62,Ridley,26947,28191
63,Robin,32658,26711
64,Rosalina & Luma,10261,11778
65,Roy,37040,47201
66,Ryu,12657,10686
67,Samus,51192,46157
68,Sephiroth,20772,27982
69,Sheik,9080,13359
70,Shulk,26825,28019
71,Simon,10072,7694
72,Snake,93796,69370
73,Sonic,62240,53877
74,Steve,41851,30979
75,Terry,61927,52490
76,Toon Link,32441,31470
77,Villager,17951,17957
78,Wario,23509,24914
79,Wii Fit Trainer,45440,36325
80,Wolf,78862,90165
81,Yoshi,74323,70917
82,Young Link,41171,45528
83,Zelda,53659,48146
84,Zero Suit Samus,41510,41920
