,Stage Name,Character,Wins,Losses
0,Battlefield,Banjo & Kazooie,4536,4593
1,Battlefield,Bayonetta,5174,4042
2,Battlefield,Bowser,11419,11831
3,Battlefield,Bowser Jr.,3282,2628
4,Battlefield,Byleth,3866,5229
5,Battlefield,Captain Falcon,6673,7906
6,Battlefield,Chrom,3895,4290
7,Battlefield,Cloud,11889,12643
8,Battlefield,Corrin,2373,3228
9,Battlefield,Daisy,963,953
10,Battlefield,Dark Pit,2427,3005
11,Battlefield,Dark Samus,3437,2610
12,Battlefield,Diddy Kong,2197,2313
13,Battlefield,Donkey Kong,7367,6981
14,Battlefield,Dr. Mario,1771,2075
15,Battlefield,Duck Hunt,2721,2167
16,Battlefield,Falco,5640,7278
17,Battlefield,Fox,3629,4648
18,Battlefield,Ganondorf,6765,7038
19,Battlefield,Greninja,3159,3510
20,Battlefield,Hero,5111,4953
21,Battlefield,Ice Climbers,1875,1782
22,Battlefield,Ike,6271,6200
23,Battlefield,Incineroar,4349,4283
24,Battlefield,Inkling,7959,7980
25,Battlefield,Isabelle,4182,3378
26,Battlefield,Jigglypuff,5974,7739
27,Battlefield,Joker,7677,10932
28,Battlefield,Kazuya,139,185
29,Battlefield,Ken,2854,2385
30,Battlefield,King Dedede,4772,4207
31,Battlefield,King K. Rool,7382,6833
32,Battlefield,Kirby,1154,2202
33,Battlefield,Link,5569,5982
34,Battlefield,Little Mac,7001,6838
35,Battlefield,Lucario,1909,2159
36,Battlefield,Lucas,4958,5283
37,Battlefield,Lucina,8215,11325
38,Battlefield,Luigi,7872,6443
39,Battlefield,Mario,6978,8502
40,Battlefield,Marth,2575,3523
41,Battlefield,Mega Man,4570,3706
42,Battlefield,Meta Knight,1002,1219
43,Battlefield,Mewtwo,2068,2558
44,Battlefield,Mii Brawler,1964,2467
45,Battlefield,Mii Gunner,2070,1604
46,Battlefield,Mii Swordfighter,2261,2027
47,Battlefield,Min Min,3012,2086
48,Battlefield,Mr. Game & Watch,7721,7696
49,Battlefield,Ness,12435,11440
50,Battlefield,Olimar,1668,1504
51,Battlefield,Pac-Man,2842,2734
52,Battlefield,Palutena,14137,12219
53,Battlefield,Peach,2761,2387
54,Battlefield,Pichu,1224,1720
55,Battlefield,Pikachu,2313,3328
56,Battlefield,Piranha Plant,4232,4222
57,Battlefield,Pit,1550,1786
58,Battlefield,Pokemon Trainer,11408,11695
59,Battlefield,Pyra & Mythra,2887,3840
60,Battlefield,R.O.B.,9506,6631
61,Battlefield,Richter,3649,2315
62,Battlefield,Ridley,4047,4049
63,Battlefield,Robin,4662,3595
64,Battlefield,Rosalina & Luma,1803,1908
65,Battlefield,Roy,4844,6392
66,Battlefield,Ryu,1182,1079
67,Battlefield,Samus,8313,6780
68,Battlefield,Sephiroth,2598,3308
69,Battlefield,Sheik,1051,1647
70,Battlefield,Shulk,2213,2523
71,Battlefield,Simon,1508,1050
72,Battlefield,Snake,13450,9052
73,Battlefield,Sonic,3938,3714
74,Battlefield,Steve,4733,3356
75,Battlefield,Terry,5647,5178
76,Battlefield,Toon Link,3853,3567
77,Battlefield,Villager,3027,2555
78,Battlefield,Wario,3238,3365
79,Battlefield,Wii Fit Trainer,4787,3692
80,Battlefield,Wolf,8840,10240
81,Battlefield,Yoshi,10406,9845
82,Battlefield,Young Link,3362,4065
83,Battlefield,Zelda,7140,6267
84,Battlefield,Zero Suit Samus,7007,6395
85,Final Destination,Banjo & Kazooie,7660,6720
86,Final Destination,Bayonetta,2754,2375
87,Final Destination,Bowser,11410,11590
88,Final Destination,Bowser Jr.,4786,3706
89,Final Destination,Byleth,2687,3667
90,Final Destination,Captain Falcon,4813,6309
91,Final Destination,Chrom,1847,2804
92,Final Destination,Cloud,7174,9182
93,Final Destination,Corrin,1681,2314
94,Final Destination,Daisy,1462,1480
95,Final Destination,Dark Pit,2481,3029
96,Final Destination,Dark Samus,1862,2057
97,Final Destination,Diddy Kong,5140,4409
98,Final Destination,Donkey Kong,6721,7245
99,Final Destination,Dr. Mario,3875,3246
100,Final Destination,Duck Hunt,2812,2372
101,Final Destination,Falco,2403,3608
102,Final Destination,Fox,3630,4459
103,Final Destination,Ganondorf,6339,6897
104,Final Destination,Greninja,8169,7202
105,Final Destination,Hero,4682,5384
106,Final Destination,Ice Climbers,2728,2449
107,Final Destination,Ike,8058,6135
108,Final Destination,Incineroar,2968,3516
109,Final Destination,Inkling,10434,9618
110,Final Destination,Isabelle,3060,2807
111,Final Destination,Jigglypuff,7928,8929
112,Final Destination,Joker,10153,13757
113,Final Destination,Kazuya,290,385
114,Final Destination,Ken,6237,4810
115,Final Destination,King Dedede,12112,9113
116,Final Destination,King K. Rool,6743,8315
117,Final Destination,Kirby,6966,8247
118,Final Destination,Link,8073,8891
119,Final Destination,Little Mac,4784,5389
120,Final Destination,Lucario,2378,2447
121,Final Destination,Lucas,6788,6898
122,Final Destination,Lucina,4640,7341
123,Final Destination,Luigi,9590,7537
124,Final Destination,Mario,4815,5716
125,Final Destination,Marth,1289,2212
126,Final Destination,Mega Man,3574,3231
127,Final Destination,Meta Knight,3212,2891
128,Final Destination,Mewtwo,2048,2670
129,Final Destination,Mii Brawler,1727,2080
130,Final Destination,Mii Gunner,2715,2463
131,Final Destination,Mii Swordfighter,2457,2322
132,Final Destination,Min Min,6020,4795
133,Final Destination,Mr. Game & Watch,8563,7705
134,Final Destination,Ness,12947,13091
135,Final Destination,Olimar,1896,1821
136,Final Destination,Pac-Man,9701,7181
137,Final Destination,Palutena,8680,8234
138,Final Destination,Peach,3870,3817
139,Final Destination,Pichu,4952,4906
140,Final Destination,Pikachu,9830,10058
141,Final Destination,Piranha Plant,4151,4547
142,Final Destination,Pit,1510,1741
143,Final Destination,Pokemon Trainer,6542,7303
144,Final Destination,Pyra & Mythra,3316,4114
145,Final Destination,R.O.B.,12182,9207
146,Final Destination,Richter,3116,2579
147,Final Destination,Ridley,3301,3596
148,Final Destination,Robin,3568,2953
149,Final Destination,Rosalina & Luma,1325,1387
150,Final Destination,Roy,2989,4759
151,Final Destination,Ryu,2272,1921
152,Final Destination,Samus,5012,5008
153,Final Destination,Sephiroth,2365,3511
154,Final Destination,Sheik,1476,1853
155,Final Destination,Shulk,4763,4805
156,Final Destination,Simon,1101,1008
157,Final Destination,Snake,8006,6566
158,Final Destination,Sonic,12167,9502
159,Final Destination,Steve,7675,5376
160,Final Destination,Terry,11529,9439
161,Final Destination,Toon Link,3385,3737
162,Final Destination,Villager,1787,2091
163,Final Destination,Wario,1707,1983
164,Final Destination,Wii Fit Trainer,5141,4207
165,Final Destination,Wolf,9149,10868
166,Final Destination,Yoshi,9747,8757
167,Final Destination,Young Link,5102,6316
168,Final Destination,Zelda,7242,6808
169,Final Destination,Zero Suit Samus,3027,3493
170,Kalos Pokemon League,Banjo & Kazooie,3691,3371
171,Kalos Pokemon League,Bayonetta,2301,1536
172,Kalos Pokemon League,Bowser,7791,6544
173,Kalos Pokemon League,Bowser Jr.,2633,2188
174,Kalos Pokemon League,Byleth,1762,2456
175,Kalos Pokemon League,Captain Falcon,5614,6621
176,Kalos Pokemon League,Chrom,1142,1435
177,Kalos Pokemon League,Cloud,6104,6331
178,Kalos Pokemon League,Corrin,1283,1638
179,Kalos Pokemon League,Daisy,567,569
180,Kalos Pokemon League,Dark Pit,1182,1564
181,Kalos Pokemon League,Dark Samus,1606,1439
182,Kalos Pokemon League,Diddy Kong,2123,1973
183,Kalos Pokemon League,Donkey Kong,4431,3496
184,Kalos Pokemon League,Dr. Mario,1583,1495
185,Kalos Pokemon League,Duck Hunt,1135,1039
186,Kalos Pokemon League,Falco,1846,2277
187,Kalos Pokemon League,Fox,2271,2680
188,Kalos Pokemon League,Ganondorf,3002,3206
189,Kalos Pokemon League,Greninja,3115,3622
190,Kalos Pokemon League,Hero,3188,3431
191,Kalos Pokemon League,Ice Climbers,890,837
192,Kalos Pokemon League,Ike,2970,2323
193,Kalos Pokemon League,Incineroar,1617,1693
194,Kalos Pokemon League,Inkling,3801,3695
195,Kalos Pokemon League,Isabelle,1647,1595
196,Kalos Pokemon League,Jigglypuff,2874,3709
197,Kalos Pokemon League,Joker,5341,7109
198,Kalos Pokemon League,Kazuya,99,106
199,Kalos Pokemon League,Ken,1853,1432
200,Kalos Pokemon League,King Dedede,4853,3892
201,Kalos Pokemon League,King K. Rool,3326,3809
202,Kalos Pokemon League,Kirby,2397,2656
203,Kalos Pokemon League,Link,4683,5066
204,Kalos Pokemon League,Little Mac,1868,2049
205,Kalos Pokemon League,Lucario,1878,2257
206,Kalos Pokemon League,Lucas,2637,3036
207,Kalos Pokemon League,Lucina,2423,3746
208,Kalos Pokemon League,Luigi,3341,2796
209,Kalos Pokemon League,Mario,3082,2982
210,Kalos Pokemon League,Marth,679,1092
211,Kalos Pokemon League,Mega Man,1963,1886
212,Kalos Pokemon League,Meta Knight,702,798
213,Kalos Pokemon League,Mewtwo,1143,1711
214,Kalos Pokemon League,Mii Brawler,685,805
215,Kalos Pokemon League,Mii Gunner,1452,1322
216,Kalos Pokemon League,Mii Swordfighter,1061,982
217,Kalos Pokemon League,Min Min,2625,2157
218,Kalos Pokemon League,Mr. Game & Watch,2995,2925
219,Kalos Pokemon League,Ness,6486,5942
220,Kalos Pokemon League,Olimar,568,613
221,Kalos Pokemon League,Pac-Man,3795,3347
222,Kalos Pokemon League,Palutena,6674,5535
223,Kalos Pokemon League,Peach,1733,1601
224,Kalos Pokemon League,Pichu,2278,2375
225,Kalos Pokemon League,Pikachu,4839,6208
226,Kalos Pokemon League,Piranha Plant,1814,2000
227,Kalos Pokemon League,Pit,691,937
228,Kalos Pokemon League,Pokemon Trainer,5120,5387
229,Kalos Pokemon League,Pyra & Mythra,1623,1930
230,Kalos Pokemon League,R.O.B.,6711,5294
231,Kalos Pokemon League,Richter,1558,1225
232,Kalos Pokemon League,Ridley,1736,1830
233,Kalos Pokemon League,Robin,2349,1976
234,Kalos Pokemon League,Rosalina & Luma,665,768
235,Kalos Pokemon League,Roy,2053,2535
236,Kalos Pokemon League,Ryu,724,608
237,Kalos Pokemon League,Samus,3905,3680
238,Kalos Pokemon League,Sephiroth,1298,1825
239,Kalos Pokemon League,Sheik,577,774
240,Kalos Pokemon League,Shulk,2067,2114
241,Kalos Pokemon League,Simon,608,498
242,Kalos Pokemon League,Snake,5739,4358
243,Kalos Pokemon League,Sonic,4901,4556
244,Kalos Pokemon League,Steve,2496,1991
245,Kalos Pokemon League,Terry,4424,3669
246,Kalos Pokemon League,Toon Link,2757,2670
247,Kalos Pokemon League,Villager,1792,1828
248,Kalos Pokemon League,Wario,1453,1324
249,Kalos Pokemon League,Wii Fit Trainer,3584,3056
250,Kalos Pokemon League,Wolf,5828,6290
251,Kalos Pokemon League,Yoshi,4931,4244
252,Kalos Pokemon League,Young Link,3334,3921
253,Kalos Pokemon League,Zelda,3888,3761
254,Kalos Pokemon League,Zero Suit Samus,1747,1954
255,Lylat Cruise,Banjo & Kazooie,1114,936
256,Lylat Cruise,Bayonetta,1142,779
257,Lylat Cruise,Bowser,1920,2042
258,Lylat Cruise,Bowser Jr.,164,216
259,Lylat Cruise,Byleth,363,498
260,Lylat Cruise,Captain Falcon,725,901
261,Lylat Cruise,Chrom,442,470
262,Lylat Cruise,Cloud,1724,1734
263,Lylat Cruise,Corrin,239,376
264,Lylat Cruise,Daisy,87,88
265,Lylat Cruise,Dark Pit,308,453
266,Lylat Cruise,Dark Samus,380,333
267,Lylat Cruise,Diddy Kong,350,347
268,Lylat Cruise,Donkey Kong,1792,1518
269,Lylat Cruise,Dr. Mario,295,315
270,Lylat Cruise,Duck Hunt,484,344
271,Lylat Cruise,Falco,542,739
272,Lylat Cruise,Fox,308,521
273,Lylat Cruise,Ganondorf,897,1033
274,Lylat Cruise,Greninja,502,447
275,Lylat Cruise,Hero,624,701
276,Lylat Cruise,Ice Climbers,180,195
277,Lylat Cruise,Ike,899,812
278,Lylat Cruise,Incineroar,740,741
279,Lylat Cruise,Inkling,1511,1434
